Sample Name	Monocytes	Bcells	CD4Tcells	NK	CD8Tcells	Unknown
GSM3401953	0.17560805	0.0655	0.376607	0.021891946	0.293326	0.0670670039999999
GSM3402025	0.1984608	0.0559	0.398872	0.06263919	0.169384	0.11474401
GSM3401859	0.064757794	0.0723	0.555901	0.021942206	0.204363	0.0807360000000001
GSM3401843	0.025233988	0.0404	0.399828	0.076366015	0.42471	0.033461997
GSM3402022	0.11628852	0.0447	0.19465	0.41401148	0.1547	0.07565
GSM3401923	0.067481376	0.0401	0.62128	0.012418626	0.21384	0.0448799979999999
GSM3401915	0.15251383	0.06792369	0.33605587	0.12461376	0.24412793	0.07476492
GSM3402050	0.04957296	0.0437	0.645414	0.01772704	0.198247	0.045339
GSM3401979	0.104278035	0.0531	0.286273	0.049621962	0.473421	0.0333060029999999
GSM3401815	0.06662116	0.0453	0.432565	0.29307884	0.12852	0.0339150000000001
GSM3401876	0.021863636	0.0765	0.405019	0.21863636	0.185776	0.0922050039999999
GSM3401868	0.08840806	0.085	0.309894	0.07259194	0.36569	0.078416
GSM3401846	0.06608	0.0898	0.544595	0.09912	0.157195	0.0432099999999999
GSM3401813	0.09319055	0.06792369	0.4398474	0.094543666	0.2414019	0.0630927940000001
GSM3401836	0.03998974	0.0595	0.554974	0.09151026	0.192542	0.061484
GSM3401880	0.08185574	0.0561	0.624758	0.08304427	0.115292	0.0389499899999998
GSM3401833	0.043924086	0.0355	0.3944	0.12057591	0.3632	0.0424000040000001
GSM3401929	0.055227306	0.153	0.502593	0.002772694	0.213819	0.0725879999999999
GSM3401858	0.064757794	0.0723	0.555901	0.021942206	0.204363	0.0807360000000001
GSM3402023	0.11628852	0.0447	0.19465	0.41401148	0.1547	0.07565
GSM3401954	0.17560805	0.0655	0.376607	0.021891946	0.293326	0.0670670039999999
GSM3401933	0.07458863	0.0218	0.63457	0.013611371	0.22428	0.031149999
GSM3401947	0.28148243	0.0817	0.403788	0.009817558	0.13794	0.0852720120000001
GSM3402054	0.20985149	0.152	0.409375	0.013148508	0.155	0.0606250019999999
GSM3402028	0.26382354	0.152	0.250893	0.03517647	0.21411	0.08399699
GSM3401991	0.11433267	0.123	0.272172	0.31866732	0.133644	0.03818401
GSM3402019	0.14679693	0.0265	0.372364	0.09370308	0.230895	0.12974099
GSM3401841	0.025233988	0.0404	0.399828	0.076366015	0.42471	0.033461997
GSM3401912	0.15251383	0.06792369	0.33605587	0.12461376	0.24412793	0.07476492
GSM3401884	0.05996466	0.0822	0.357853	0.06083534	0.364229	0.074918
GSM3401856	0.080061	0.0707	0.532597	0.076239	0.156919	0.0834840000000001
GSM3402007	0.113554664	0.0824	0.35496	0.039045334	0.334305	0.075735002
GSM3401845	0.06608	0.0898	0.544595	0.09912	0.157195	0.0432099999999999
GSM3401987	0.15820362	0.0681	0.283679	0.07669637	0.317832	0.0954890100000001
GSM3401831	0.043924086	0.0355	0.3944	0.12057591	0.3632	0.0424000040000001
GSM3401882	0.08185574	0.0561	0.624758	0.08304427	0.115292	0.0389499899999998
GSM3401994	0.11051912	0.0484	0.285359	0.22208087	0.26617	0.06747101
GSM3401861	0.084176704	0.0929	0.430416	0.090923294	0.25986	0.041724002
GSM3401909	0.10476716	0.0766	0.413882	0.019632839	0.307615	0.0775030009999999
GSM3402027	0.26382354	0.152	0.250893	0.03517647	0.21411	0.08399699
GSM3401999	0.13270502	0.0658	0.469507	0.08249498	0.186221	0.063272
GSM3401962	0.20716564	0.0745	0.423583	0.027334357	0.21421	0.053207003
GSM3401888	0.090961926	0.042	0.520448	0.011038076	0.249952	0.0855999979999999
GSM3401844	0.06608	0.0898	0.544595	0.09912	0.157195	0.0432099999999999
GSM3401855	0.080061	0.0707	0.532597	0.076239	0.156919	0.0834840000000001
GSM3401872	0.10090226	0.083	0.343664	0.06409775	0.350432	0.05790399
GSM3402047	0.06624497	0.0424	0.39574	0.04935503	0.394898	0.0513619999999999
GSM3401824	0.060762916	0.0469	0.44156	0.062337086	0.31457	0.073869998
GSM3401928	0.055227306	0.153	0.502593	0.002772694	0.213819	0.0725879999999999
GSM3401992	0.11433267	0.123	0.272172	0.31866732	0.133644	0.03818401
GSM3401960	0.20716564	0.0745	0.423583	0.027334357	0.21421	0.053207003
GSM3401990	0.15858053	0.0727	0.275429	0.22971946	0.214522	0.04904901
GSM3401885	0.044074647	0.0512	0.53058	0.18772535	0.117588	0.0688320029999999
GSM3401817	0.19320534	0.0821	0.36465	0.17469466	0.13805	0.0473
GSM3401891	0.067626245	0.0537	0.49224	0.03867376	0.2814	0.066359995
GSM3401925	0.09087826	0.0487	0.29674	0.05842174	0.423456	0.0818039999999999
GSM3401948	0.19207135	0.0421	0.54036	0.005828658	0.15504	0.064599992
GSM3401935	0.1907152	0.152	0.299228	0.031284805	0.282952	0.043819995
GSM3401981	0.09620119	0.0157	0.552024	0.14009881	0.148852	0.047124
GSM3402052	0.20985149	0.152	0.409375	0.013148508	0.155	0.0606250019999999
GSM3401870	0.10422067	0.11	0.466992	0.033779327	0.231616	0.0533920029999999
GSM3401967	0.034406964	0.112	0.504792	0.16959304	0.134748	0.044459996
GSM3402002	0.08557412	0.0359	0.34384	0.31852588	0.16968	0.04648
GSM3402051	0.04957296	0.0437	0.645414	0.01772704	0.198247	0.045339
GSM3401887	0.13182718	0.0459	0.53801	0.085272826	0.149611	0.049378994
GSM3402006	0.113554664	0.0824	0.35496	0.039045334	0.334305	0.075735002
GSM3401949	0.19207135	0.0421	0.54036	0.005828658	0.15504	0.064599992
GSM3401830	0.012434587	0.0411	0.459513	0.10946541	0.323082	0.054405003
GSM3401980	0.09620119	0.0157	0.552024	0.14009881	0.148852	0.047124
GSM3401848	0.046818357	0.0777	0.5677	0.064481646	0.175176	0.068123997
GSM3401852	0.07048771	0.0688	0.542892	0.017712295	0.236883	0.0632249949999999
GSM3402033	0.14213541	0.0501	0.328345	0.13076459	0.249813	0.0988419999999998
GSM3402048	0.06624497	0.0424	0.39574	0.04935503	0.394898	0.0513619999999999
GSM3402055	0.113918826	0.0563	0.515508	0.031781174	0.209874	0.0726179999999999
GSM3401961	0.20716564	0.0745	0.423583	0.027334357	0.21421	0.053207003
GSM3402018	0.0951933	0.0678	0.289196	0.103006706	0.35599	0.0888139939999999
GSM3401966	0.13773224	0.0802	0.380835	0.13106777	0.225246	0.0449189899999999
GSM3401917	0.05802781	0.0434	0.60384	0.01057219	0.224664	0.0594959999999999
GSM3401936	0.1907152	0.152	0.299228	0.031284805	0.282952	0.043819995
GSM3402034	0.14213541	0.0501	0.328345	0.13076459	0.249813	0.0988419999999998
GSM3402059	0.10267165	0.0458	0.480282	0.22452836	0.121011	0.02570699
GSM3401941	0.048440397	0.0459	0.63804	0.087659605	0.143968	0.0359919979999999
GSM3401974	0.10297071	0.123	0.392409	0.03502929	0.24387	0.1027209999999999
GSM3401906	0.08808603	0.0325	0.526212	0.03341397	0.280872	0.0389159999999999
GSM3402011	0.14217919	0.0326	0.332782	0.09222081	0.317389	0.082829
GSM3401997	0.16094118	0.083	0.362283	0.14305882	0.213324	0.037393
GSM3402026	0.26382354	0.152	0.250893	0.03517647	0.21411	0.08399699
GSM3401942	0.048440397	0.0459	0.63804	0.087659605	0.143968	0.0359919979999999
GSM3401829	0.012434587	0.0411	0.459513	0.10946541	0.323082	0.054405003
GSM3401950	0.19207135	0.0421	0.54036	0.005828658	0.15504	0.064599992
GSM3402040	0.11494777	0.103	0.338672	0.08805223	0.303278	0.0520500000000001
GSM3401970	0.25349906	0.088	0.322605	0.055500932	0.199593	0.0808020080000001
GSM3401946	0.28148243	0.0817	0.403788	0.009817558	0.13794	0.0852720120000001
GSM3401857	0.064757794	0.0723	0.555901	0.021942206	0.204363	0.0807360000000001
GSM3401959	0.08697662	0.0857	0.520965	0.06232338	0.16218	0.081855
GSM3401971	0.25349906	0.088	0.322605	0.055500932	0.199593	0.0808020080000001
GSM3401863	0.11913359	0.141	0.486396	0.03186641	0.178416	0.043188
GSM3401989	0.15858053	0.0727	0.275429	0.22971946	0.214522	0.04904901
GSM3401851	0.07048771	0.0688	0.542892	0.017712295	0.236883	0.0632249949999999
GSM3401834	0.1190298	0.0324	0.212725	0.2135702	0.283845	0.1384299999999999
GSM3401883	0.05996466	0.0822	0.357853	0.06083534	0.364229	0.074918
GSM3401965	0.090524405	0.142	0.383901	0.060475595	0.207858	0.115241
GSM3402024	0.11628852	0.0447	0.19465	0.41401148	0.1547	0.07565
GSM3401827	0.010011897	0.0236	0.44588	0.2563881	0.2414	0.0227200029999998
GSM3402036	0.12443306	0.106	0.360525	0.010566935	0.282348	0.116127005
GSM3401866	0.08840806	0.085	0.309894	0.07259194	0.36569	0.078416
GSM3401839	0.035704248	0.0668	0.425007	0.006495754	0.397386	0.0686069979999999
GSM3402020	0.14679693	0.0265	0.372364	0.09370308	0.230895	0.12974099
GSM3401867	0.08840806	0.085	0.309894	0.07259194	0.36569	0.078416
GSM3401976	0.17253436	0.0185	0.227708	0.20496564	0.247036	0.129256
GSM3401814	0.06662116	0.0453	0.432565	0.29307884	0.12852	0.0339150000000001
GSM3402009	0.11565679	0.118	0.424474	0.020343203	0.252148	0.069378007
GSM3401837	0.03998974	0.0595	0.554974	0.09151026	0.192542	0.061484
GSM3401922	0.067481376	0.0401	0.62128	0.012418626	0.21384	0.0448799979999999
GSM3401873	0.10090226	0.083	0.343664	0.06409775	0.350432	0.05790399
GSM3401821	0.18789583	0.141	0.368804	0.12310417	0.141384	0.0378119999999999
GSM3401956	0.021863636	0.0765	0.405019	0.21863636	0.185776	0.0922050039999999
GSM3402035	0.14213541	0.0501	0.328345	0.13076459	0.249813	0.0988419999999998
GSM3401908	0.10476716	0.0766	0.413882	0.019632839	0.307615	0.0775030009999999
GSM3401881	0.08185574	0.0561	0.624758	0.08304427	0.115292	0.0389499899999998
GSM3401842	0.025233988	0.0404	0.399828	0.076366015	0.42471	0.033461997
GSM3401865	0.11913359	0.141	0.486396	0.03186641	0.178416	0.043188
GSM3401895	0.0752654	0.0492	0.442176	0.2035346	0.200928	0.028896
GSM3402017	0.0951933	0.0678	0.289196	0.103006706	0.35599	0.0888139939999999
GSM3401932	0.07458863	0.0218	0.63457	0.013611371	0.22428	0.031149999
GSM3401996	0.16094118	0.083	0.362283	0.14305882	0.213324	0.037393
GSM3401931	0.07458863	0.0218	0.63457	0.013611371	0.22428	0.031149999
GSM3401862	0.084176704	0.0929	0.430416	0.090923294	0.25986	0.041724002
GSM3401921	0.040581286	0.064	0.371085	0.18041871	0.26312	0.0807950039999999
GSM3401978	0.104278035	0.0531	0.286273	0.049621962	0.473421	0.0333060029999999
GSM3401890	0.090961926	0.042	0.520448	0.011038076	0.249952	0.0855999979999999
GSM3402029	0.141112	0.102	0.312936	0.09388801	0.232713	0.11735099
GSM3401825	0.15522388	0.126	0.234132	0.06477612	0.319806	0.1000620000000001
GSM3402005	0.15402721	0.0429	0.398931	0.114072785	0.233571	0.0564980050000001
GSM3401823	0.060762916	0.0469	0.44156	0.062337086	0.31457	0.073869998
GSM3402012	0.14217919	0.0326	0.332782	0.09222081	0.317389	0.082829
GSM3401849	0.046818357	0.0777	0.5677	0.064481646	0.175176	0.068123997
GSM3401902	0.069696546	0.042	0.439674	0.12630345	0.2667	0.055626004
GSM3401945	0.28148243	0.0817	0.403788	0.009817558	0.13794	0.0852720120000001
GSM3402037	0.12443306	0.106	0.360525	0.010566935	0.282348	0.116127005
GSM3401871	0.10422067	0.11	0.466992	0.033779327	0.231616	0.0533920029999999
GSM3401964	0.19957764	0.231	0.226058	0.087422356	0.182196	0.0737460039999999
GSM3401875	0.10090226	0.083	0.343664	0.06409775	0.350432	0.05790399
GSM3401894	0.0752654	0.0492	0.442176	0.2035346	0.200928	0.028896
GSM3401926	0.10237029	0.026	0.452154	0.029629711	0.313224	0.0766219989999998
GSM3401998	0.13270502	0.0658	0.469507	0.08249498	0.186221	0.063272
GSM3402000	0.041486733	0.0285	0.45682	0.020013267	0.40131	0.0518699999999998
GSM3401879	0.07765503	0.0679	0.423814	0.13244496	0.238982	0.0592040099999999
GSM3401889	0.090961926	0.042	0.520448	0.011038076	0.249952	0.0855999979999999
GSM3401860	0.084176704	0.0929	0.430416	0.090923294	0.25986	0.041724002
GSM3402049	0.04957296	0.0437	0.645414	0.01772704	0.198247	0.045339
GSM3401951	0.19207135	0.0421	0.54036	0.005828658	0.15504	0.064599992
GSM3401930	0.055227306	0.153	0.502593	0.002772694	0.213819	0.0725879999999999
GSM3401924	0.09087826	0.0487	0.29674	0.05842174	0.423456	0.0818039999999999
GSM3401904	0.111994155	0.0289	0.540366	0.06210585	0.192874	0.0637599949999999
GSM3401969	0.034406964	0.112	0.504792	0.16959304	0.134748	0.044459996
GSM3401905	0.111994155	0.0289	0.540366	0.06210585	0.192874	0.0637599949999999
GSM3401988	0.15858053	0.0727	0.275429	0.22971946	0.214522	0.04904901
GSM3401818	0.19320534	0.0821	0.36465	0.17469466	0.13805	0.0473
GSM3401973	0.1229958	0.227	0.300144	0.1690042	0.138528	0.0423279999999999
GSM3402010	0.11565679	0.118	0.424474	0.020343203	0.252148	0.069378007
GSM3401918	0.05802781	0.0434	0.60384	0.01057219	0.224664	0.0594959999999999
GSM3402014	0.13224438	0.0659	0.118802	0.41985562	0.191764	0.071434
GSM3401819	0.18789583	0.141	0.368804	0.12310417	0.141384	0.0378119999999999
GSM3402042	0.090494834	0.0951	0.29848	0.15840517	0.274864	0.0826559959999999
GSM3401896	0.0752654	0.0492	0.442176	0.2035346	0.200928	0.028896
GSM3401838	0.035704248	0.0668	0.425007	0.006495754	0.397386	0.0686069979999999
GSM3401920	0.040581286	0.064	0.371085	0.18041871	0.26312	0.0807950039999999
GSM3401840	0.035704248	0.0668	0.425007	0.006495754	0.397386	0.0686069979999999
GSM3401940	0.057235148	0.142	0.401128	0.04676485	0.31668	0.0361920019999999
GSM3401944	0.28148243	0.0817	0.403788	0.009817558	0.13794	0.0852720120000001
GSM3402032	0.23222557	0.0349	0.3493	0.03287443	0.2114	0.1392999999999999
GSM3401900	0.0545043	0.0472	0.459435	0.0552957	0.314439	0.0691259999999999
GSM3401874	0.10090226	0.083	0.343664	0.06409775	0.350432	0.05790399
GSM3401972	0.25349906	0.088	0.322605	0.055500932	0.199593	0.0808020080000001
GSM3401919	0.040581286	0.064	0.371085	0.18041871	0.26312	0.0807950039999999
GSM3401903	0.111994155	0.0289	0.540366	0.06210585	0.192874	0.0637599949999999
GSM3401995	0.16094118	0.083	0.362283	0.14305882	0.213324	0.037393
GSM3401878	0.07765503	0.0679	0.423814	0.13244496	0.238982	0.0592040099999999
GSM3401853	0.07048771	0.0688	0.542892	0.017712295	0.236883	0.0632249949999999
GSM3401864	0.11913359	0.141	0.486396	0.03186641	0.178416	0.043188
GSM3402039	0.11494777	0.103	0.338672	0.08805223	0.303278	0.0520500000000001
GSM3401986	0.15820362	0.0681	0.283679	0.07669637	0.317832	0.0954890100000001
GSM3401911	0.15251383	0.06792369	0.33605587	0.12461376	0.24412793	0.07476492
GSM3402058	0.10267165	0.0458	0.480282	0.22452836	0.121011	0.02570699
GSM3402057	0.113918826	0.0563	0.515508	0.031781174	0.209874	0.0726179999999999
GSM3401943	0.048440397	0.0459	0.63804	0.087659605	0.143968	0.0359919979999999
GSM3401877	0.021863636	0.0765	0.405019	0.21863636	0.185776	0.0922050039999999
GSM3401822	0.060762916	0.0469	0.44156	0.062337086	0.31457	0.073869998
GSM3401897	0.11271967	0.0602	0.355509	0.20008032	0.201267	0.07022401
GSM3401835	0.03998974	0.0595	0.554974	0.09151026	0.192542	0.061484
GSM3402045	0.03897736	0.0415	0.406614	0.11752264	0.341652	0.0537339999999999
GSM3402030	0.23222557	0.0349	0.3493	0.03287443	0.2114	0.1392999999999999
GSM3402004	0.15402721	0.0429	0.398931	0.114072785	0.233571	0.0564980050000001
GSM3402031	0.23222557	0.0349	0.3493	0.03287443	0.2114	0.1392999999999999
GSM3402016	0.13224438	0.0659	0.118802	0.41985562	0.191764	0.071434
GSM3401968	0.034406964	0.112	0.504792	0.16959304	0.134748	0.044459996
GSM3401984	0.14851418	0.102	0.192268	0.07248582	0.42651	0.0582219999999999
GSM3402060	0.10267165	0.0458	0.480282	0.22452836	0.121011	0.02570699
GSM3401828	0.010011897	0.0236	0.44588	0.2563881	0.2414	0.0227200029999998
GSM3401886	0.13182718	0.0459	0.53801	0.085272826	0.149611	0.049378994
GSM3401916	0.05802781	0.0434	0.60384	0.01057219	0.224664	0.0594959999999999
GSM3401910	0.10476716	0.0766	0.413882	0.019632839	0.307615	0.0775030009999999
GSM3402044	0.03897736	0.0415	0.406614	0.11752264	0.341652	0.0537339999999999
GSM3401820	0.18789583	0.141	0.368804	0.12310417	0.141384	0.0378119999999999
GSM3401832	0.043924086	0.0355	0.3944	0.12057591	0.3632	0.0424000040000001
GSM3402056	0.113918826	0.0563	0.515508	0.031781174	0.209874	0.0726179999999999
GSM3401901	0.069696546	0.042	0.439674	0.12630345	0.2667	0.055626004
